pilot_pattern,pilot_density,snr_db,trial,num_pilots,nmse_oracle_perfect,nmse_oracle_support_ls,nmse_estimated_support_ls,path_recall,path_precision,power_recovery,delay_rmse_bins,doppler_rmse_bins,penalized_delay_rmse_bins,penalized_doppler_rmse_bins,ospa_distance,num_estimated,num_missed,num_false_alarms,false_alarm_rate
random,0.125,0.0,83,112,0.0,0.014336692103582238,0.2521697915684703,0.25,0.25,0.8884909999281165,0.018657438165051943,0.0014806032085803444,0.6495860412599094,0.4330133347213055,0.8661159872075309,4.0,3.0,3.0,0.75
random,0.125,0.0,84,112,0.0,0.054264397196839134,0.18017212869960314,1.0,1.0,1.0,0.20941990110479017,0.19860811567665823,0.20941990110479017,0.19860811567665823,0.4855390738040697,4.0,0.0,0.0,0.0
random,0.125,0.0,85,112,0.0,0.014297304956458968,0.06038948055407135,1.0,1.0,1.0,0.08188562725112607,0.10004044166596943,0.08188562725112607,0.10004044166596943,0.22793160135808938,4.0,0.0,0.0,0.0
random,0.125,0.0,86,112,0.0,0.0092888446022764,0.06901024099198595,1.0,1.0,1.0,0.09968769995535637,0.08631461387444381,0.09968769995535637,0.08631461387444381,0.21787097425791124,4.0,0.0,0.0,0.0
random,0.125,0.0,87,112,0.0,0.006422667857618404,0.23150116550789762,0.5,0.5,0.8429901640198517,0.15087650842801353,0.040322849774472924,0.540954582564668,0.3547012349949847,0.72352351925331,4.0,2.0,2.0,0.5
random,0.125,0.0,88,112,0.0,0.055622207682903047,0.10465116203235851,1.0,1.0,1.0,0.1193705232755443,0.08679681315596527,0.1193705232755443,0.08679681315596527,0.23551406494880078,4.0,0.0,0.0,0.0
random,0.125,0.0,89,112,0.0,0.041744504804558664,0.263004809943946,0.75,0.75,0.8870555537079167,0.09134503246547893,0.13642695090358434,0.3832530968134368,0.27651263027145206,0.5629939242478905,4.0,1.0,1.0,0.25
random,0.125,0.0,90,112,0.0,0.018578179611477896,0.18115689567003496,1.0,1.0,1.0,0.14902518845637316,0.2877702280593826,0.14902518845637316,0.2877702280593826,0.6088748693173415,4.0,0.0,0.0,0.0
random,0.125,0.0,91,112,0.0,0.032514849506184496,0.2519444823396987,0.5,0.5,0.894701760574381,0.09067798103121089,0.0905089315356918,0.534192145320341,0.3592992253594019,0.7236660962941373,4.0,2.0,2.0,0.5
random,0.125,0.0,92,112,0.0,0.046059609667102125,0.493217880922706,0.25,0.25,0.07321146607180527,0.08691705052416365,0.16193327094956667,0.6509713076764252,0.4405174185660613,0.7370704920643447,4.0,3.0,3.0,0.75
random,0.125,0.0,93,112,0.0,0.013193928224233573,0.11780702559212056,0.75,0.75,0.9632168024085326,0.0673565434469678,0.06694850077422176,0.3795097863808553,0.2566351034385923,0.5191295700765969,4.0,1.0,1.0,0.25
random,0.125,0.0,94,112,0.0,0.03856989858705248,0.36107167087548975,0.75,0.75,0.715814715842512,0.08567044697352119,0.11750556642812107,0.38226897482464123,0.2699178923417178,0.5488247216288378,4.0,1.0,1.0,0.25
random,0.125,0.0,95,112,0.0,0.056960832494137456,0.2776950142232921,0.5,0.5,0.7782885197619204,0.05501092758256588,0.05511126242008106,0.5317547377097332,0.3556945678848182,0.7132772672396357,4.0,2.0,2.0,0.5
random,0.125,0.0,96,112,0.0,0.037962786452878886,0.19444413652175555,0.75,0.75,0.9096769837802374,0.17664575726918708,0.09286880920694983,0.405003447727181,0.26261847191817567,0.5634525817837942,4.0,1.0,1.0,0.25
random,0.125,0.0,97,112,0.0,0.02738274287199615,0.09058131505030075,0.75,0.75,0.9808064087070945,0.1136446059172033,0.11056289871942275,0.3877000417082223,0.26770901353882537,0.551264539332215,4.0,1.0,1.0,0.25
random,0.125,0.0,98,112,0.0,0.061317469205741076,0.18557914492843788,0.75,0.75,0.9631227693947777,0.10555604492025639,0.09721446296422612,0.3859812935420645,0.2637953541233567,0.54148689758283,4.0,1.0,1.0,0.25
random,0.125,0.0,99,112,0.0,0.0367389111210268,0.19997990557440917,0.5,0.5,0.8964004591589646,0.0565043706154127,0.06929564993650558,0.5318330301413423,0.356932687701843,0.7158503815580585,4.0,2.0,2.0,0.5
random,0.125,0.0,100,112,0.0,0.02703824856387593,0.08874370802103995,1.0,1.0,1.0,0.0661220019271638,0.10420771931243944,0.0661220019271638,0.10420771931243944,0.22629549554521758,4.0,0.0,0.0,0.0
random,0.125,0.0,101,112,0.0,0.032749205795871685,0.5455391593092881,0.5,0.5,0.5926391677994476,0.10202588171738208,0.05932364272882759,0.5352145740449382,0.3560332109414918,0.7185341209620838,4.0,2.0,2.0,0.5
random,0.125,0.0,102,112,0.0,0.07539413957684493,0.1308816076898714,1.0,1.0,1.0,0.22112767074851283,0.1275473432271468,0.22112767074851283,0.1275473432271468,0.38987445840445895,4.0,0.0,0.0,0.0
random,0.125,0.0,103,112,0.0,0.021010182458024787,0.0805547202551342,0.75,0.75,0.9923098708962403,0.04467667608781541,0.10049839409007086,0.3769907214238723,0.264716726730693,0.5319409010022232,4.0,1.0,1.0,0.25
random,0.125,0.0,104,112,0.0,0.02063280742019482,0.4467613564400821,0.25,0.25,0.24015712869823747,0.17108786537524967,0.08693945301134942,0.6551280519254727,0.43518917394907486,0.72487110730427,4.0,3.0,3.0,0.75
random,0.125,0.0,105,112,0.0,0.03958030126927222,0.14609993276898875,0.75,0.75,0.951092095584487,0.06107312906528599,0.05627919347573813,0.3787115595283154,0.25470671509347703,0.514271600401907,4.0,1.0,1.0,0.25
random,0.125,0.0,106,112,0.0,0.006853846530538809,0.24629092846781866,0.75,0.75,0.8845304998090352,0.18139544995514975,0.12603019498889362,0.40657500162740384,0.2727869269901032,0.5843998994690112,4.0,1.0,1.0,0.25
random,0.125,0.0,107,112,0.0,0.020210370317427357,0.08473808948097145,1.0,1.0,1.0,0.11890069899298238,0.12825736134391874,0.11890069899298238,0.12825736134391874,0.30155085182673763,4.0,0.0,0.0,0.0
random,0.125,0.0,108,112,0.0,0.01032491246654365,0.20944322611950653,0.75,0.75,0.9502696850641487,0.20934847719080993,0.059969526624581965,0.41652741647649477,0.2553375375707268,0.5649997748437994,4.0,1.0,1.0,0.25
random,0.125,0.0,109,112,0.0,0.022717624615975044,0.07030276303972821,1.0,1.0,1.0,0.09072486319792981,0.12395743464566669,0.09072486319792981,0.12395743464566669,0.2758526286460016,4.0,0.0,0.0,0.0
random,0.125,0.0,110,112,0.0,0.0430125362312496,0.40554168176798105,0.75,0.75,0.7439821627431079,0.1571596601949915,0.14680861458786634,0.39893529437047043,0.2804720609756104,0.5895680789146404,4.0,1.0,1.0,0.25
random,0.125,0.0,111,112,0.0,0.012220152100637685,0.05102031805225833,1.0,1.0,1.0,0.041694122320262074,0.10725794874141689,0.041694122320262074,0.10725794874141689,0.22160225375726722,4.0,0.0,0.0,0.0
random,0.125,0.0,112,112,0.0,0.07295717093337714,0.19453624987721088,0.5,0.5,0.8901541773268299,0.07844934160896395,0.06162815517759302,0.5332233580774945,0.3562288797322541,0.7162866375955712,4.0,2.0,2.0,0.5
random,0.125,0.0,113,112,0.0,0.04746405755117197,0.1939331650081978,0.5,0.5,0.8444428620489897,0.046845143809369716,0.049063416881632155,0.5313635608030157,0.35525147351988623,0.71187433970376,4.0,2.0,2.0,0.5
random,0.125,0.0,114,112,0.0,0.02417312972717019,0.05388125088476687,1.0,1.0,1.0,0.07620674276750648,0.08006927739754753,0.07620674276750648,0.08006927739754753,0.1896542740176572,4.0,0.0,0.0,0.0
